Frame,Sub Frame,Phone_RX,Phone_RY,Phone_RZ,Phone_TX,Phone_TY,Phone_TZ,Robot_RX,Robot_RY,Robot_RZ,Robot_TX,Robot_TY,Robot_TZ
0,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm
1,0,-4.98715,-88.7782,5.35366,-72.4266,1576.66,1171.99,70.923,72.121,-61.3418,-123.692,1467.1,67.5834
2,0,-4.99119,-88.8098,5.3763,-72.4016,1576.66,1171.99,70.907,72.0934,-61.333,-123.683,1467.09,67.5925
3,0,-4.99032,-88.8192,5.39049,-72.3971,1576.64,1171.99,70.9057,72.1266,-61.3171,-123.699,1467.09,67.5776
4,0,-4.98818,-88.8171,5.35597,-72.387,1576.64,1172.01,70.8996,72.1012,-61.3397,-123.699,1467.08,67.568
5,0,-4.97176,-88.8127,5.33174,-72.3712,1576.64,1172.01,70.9286,72.1356,-61.3439,-123.683,1467.1,67.5843
6,0,-4.96552,-88.8175,5.30003,-72.3603,1576.64,1172,70.8973,72.13,-61.3446,-123.678,1467.1,67.588
7,0,-4.95863,-88.8261,5.27199,-72.3472,1576.65,1171.98,70.8856,72.1074,-61.3242,-123.676,1467.1,67.5925
8,0,-4.93624,-88.8245,5.21655,-72.3404,1576.64,1171.98,70.9014,72.1563,-61.3402,-123.661,1467.1,67.5815
9,0,-4.92603,-88.8417,5.20664,-72.2855,1576.64,1171.98,70.9043,72.1376,-61.3386,-123.653,1467.1,67.5903
10,0,-4.92677,-88.861,5.21157,-72.2252,1576.63,1171.99,70.8755,72.1585,-61.3471,-123.656,1467.09,67.5938
11,0,-4.92455,-88.8424,5.19243,-72.1716,1576.64,1172.02,70.8941,72.186,-61.3487,-123.663,1467.12,67.5784
12,0,-4.90777,-88.9098,5.21885,-72.058,1576.61,1172.05,70.8982,72.1749,-61.3307,-123.659,1467.12,67.5989
13,0,-5.05583,-88.7754,5.32012,-72.0423,1576.6,1172.17,70.9031,72.1519,-61.324,-123.642,1467.13,67.618
14,0,-5.04377,-88.7944,5.30874,-71.9245,1576.61,1172.19,70.8688,72.1826,-61.3083,-123.635,1467.1,67.6233
15,0,-5.01436,-88.8533,5.26007,-71.847,1576.62,1172.14,70.9042,72.1817,-61.3344,-123.632,1467.12,67.5956
16,0,-5.02679,-88.8305,5.24529,-71.7615,1576.63,1172.14,70.8559,72.1192,-61.3277,-123.63,1467.09,67.5765
17,0,-5.10011,-88.7593,5.29958,-71.6931,1576.6,1172.16,70.8988,72.1805,-61.3498,-123.65,1467.14,67.6113
18,0,-5.106,-88.7902,5.30439,-71.5863,1576.57,1172.05,70.8828,72.1725,-61.3536,-123.647,1467.12,67.6026
19,0,-5.05445,-88.7335,5.17494,-71.5249,1576.55,1171.92,70.9091,72.2114,-61.3384,-123.64,1467.13,67.5953
20,0,-5.06371,-88.7443,5.22961,-71.4397,1576.43,1171.77,70.8654,72.097,-61.3172,-123.627,1467.1,67.5964
21,0,-4.93436,-88.8129,5.10221,-71.3527,1576.34,1171.49,70.9127,72.2,-61.3184,-123.641,1467.12,67.5995
22,0,-4.87112,-88.8267,5.05582,-71.2474,1576.26,1171.33,70.8783,72.2072,-61.3383,-123.646,1467.13,67.6064
